,0
iid,0
id,1
gender,0
idg,0
condtn,0
wave,0
round,0
position,0
positin1,1846
order,0
partner,0
pid,10
match,0
int_corr,158
samerace,0
age_o,104
race_o,73
pf_o_att,89
pf_o_sin,89
pf_o_int,89
pf_o_fun,98
pf_o_amb,107
pf_o_sha,129
dec_o,0
attr_o,212
sinc_o,287
intel_o,306
fun_o,360
amb_o,722
shar_o,1076
like_o,250
prob_o,318
met_o,385
age,95
field,63
field_cd,82
undergra,3464
mn_sat,5245
tuition,4795
race,63
imprace,79
imprelig,79
from,79
zipcode,1064
income,4099
goal,79
date,97
go_out,79
career,89
career_c,138
sports,79
tvsports,79
exercise,79
dining,79
museums,79
art,79
hiking,79
gaming,79
clubbing,79
reading,79
tv,79
theater,79
movies,79
concerts,79
music,79
shopping,79
yoga,79
exphappy,101
expnum,6578
attr1_1,79
sinc1_1,79
intel1_1,79
fun1_1,89
amb1_1,99
shar1_1,121
attr4_1,1889
sinc4_1,1889
intel4_1,1889
fun4_1,1889
amb4_1,1889
shar4_1,1911
attr2_1,79
sinc2_1,79
intel2_1,79
fun2_1,79
amb2_1,89
shar2_1,89
attr3_1,105
sinc3_1,105
fun3_1,105
intel3_1,105
amb3_1,105
attr5_1,3472
sinc5_1,3472
intel5_1,3472
fun5_1,3472
amb5_1,3472
dec,0
attr,202
sinc,277
intel,296
fun,350
amb,712
shar,1067
like,240
prob,309
met,375
match_es,1173
attr1_s,4282
sinc1_s,4282
intel1_s,4282
fun1_s,4282
amb1_s,4282
shar1_s,4282
attr3_s,4378
sinc3_s,4378
intel3_s,4378
fun3_s,4378
amb3_s,4378
satis_2,915
length,915
numdat_2,945
attr7_2,6394
sinc7_2,6423
intel7_2,6394
fun7_2,6394
amb7_2,6423
shar7_2,6404
attr1_2,933
sinc1_2,915
intel1_2,915
fun1_2,915
amb1_2,915
shar1_2,915
attr4_2,2603
sinc4_2,2603
intel4_2,2603
fun4_2,2603
amb4_2,2603
shar4_2,2603
attr2_2,2603
sinc2_2,2603
intel2_2,2603
fun2_2,2603
amb2_2,2603
shar2_2,2603
attr3_2,915
sinc3_2,915
intel3_2,915
fun3_2,915
amb3_2,915
attr5_2,4001
sinc5_2,4001
intel5_2,4001
fun5_2,4001
amb5_2,4001
you_call,4404
them_cal,4404
date_3,4404
numdat_3,6882
num_in_3,7710
attr1_3,4404
sinc1_3,4404
intel1_3,4404
fun1_3,4404
amb1_3,4404
shar1_3,4404
attr7_3,6362
sinc7_3,6362
intel7_3,6362
fun7_3,6362
amb7_3,6362
shar7_3,6362
attr4_3,5419
sinc4_3,5419
intel4_3,5419
fun4_3,5419
amb4_3,5419
shar4_3,5419
attr2_3,5419
sinc2_3,5419
intel2_3,5419
fun2_3,5419
amb2_3,5419
shar2_3,6362
attr3_3,4404
sinc3_3,4404
intel3_3,4404
fun3_3,4404
amb3_3,4404
attr5_3,6362
sinc5_3,6362
intel5_3,6362
fun5_3,6362
amb5_3,6362
